,Name,Type,Columns
0,Variable: External: Gender,Multiple Choice,Variable: External: Q1: Gender
1,Variable: External: Age (write-in),Number,Variable: External: Q2: Age (write-in)
2,Variable: External: Urban/Rural (self-report),Multiple Choice,Variable: External: Q3: _ Urban/Rural (self-report)
3,Variable: External: Annual Household Income (US),Multiple Choice,Variable: External: Q5: Annual Income (US)
4,Variable: External: MainRegionName,Multiple Choice,Variable: External: MainRegionName
5,Variable: External: Food - Main Grocery Shop,Multiple Choice,Variable: External: Food - Main Grocery Shop
6,1. Who do you grocery shop for?,Multiple Answer,"['Q3: _ Who do you grocery shop for?\nOption 1: Myself', 'Q3: _ Who do you grocery shop for?\nOption 2: Partner or spouse', 'Q3: _ Who do you grocery shop for?\nOption 3: Child or children', 'Q3: _ Who do you grocery shop for?\nOption 4: Other family members', 'Q3: _ Who do you grocery shop for?\nOption 5: Friends or neighbors', ""Q3: _ Who do you grocery shop for?\nOption 6: ❌ I don't grocery shop""]"
7,2. How many people in total do you shop for?,Number,Q5: _ Number of people
8,3. How often do you get groceries?,Multiple Choice,Q6: _ How often do you get groceries?
9,4. How do you shop for groceries?,Multiple Choice,Q7: _ How do you shop for groceries?
10,5. What best describes how you grocery shop in store?,Multiple Choice,Q8: _ Grocery shopping behavior
11,6. How do you find the best deals on groceries when shopping at multiple stores?,Multiple Answer,"['Q9: _ Finding best deals\nOption 1: I buy different items at different stores, e.g. I buy pantry staples f', 'Q9: _ Finding best deals\nOption 2: Before shopping, I compare prices of items on my list between stores o', 'Q9: _ Finding best deals\nOption 3: I keep track of how much items cost at different stores.', 'Q9: _ Finding best deals\nOption 4: I use coupons at multiple stores.', 'Q9: _ Finding best deals\nOption 5: I buy items on sale at different stores.', 'Q9: _ Finding best deals\nOption 6: Other']"
12,7. How many different stores do you buy groceries at when trying to get the best deal?,Number,Q10: _ Number of different stores bought groceries at in last 3 months
13,8. What best describes why you buy groceries in-store AND online?,Multiple Choice,Q11: _ Why buy in-store AND online
14,9. What are the three most important factors in choosing where to shop?,Multiple Answer,"['Q12: _ Factors in choosing where to shop\nOption 1: Price', 'Q12: _ Factors in choosing where to shop\nOption 2: Familiarity', 'Q12: _ Factors in choosing where to shop\nOption 3: Convenience of location', 'Q12: _ Factors in choosing where to shop\nOption 4: Quality of products', 'Q12: _ Factors in choosing where to shop\nOption 5: Variety of products available', 'Q12: _ Factors in choosing where to shop\nOption 6: Availability of the brands I like', 'Q12: _ Factors in choosing where to shop\nOption 7: Availability of organic or locally sourced products', 'Q12: _ Factors in choosing where to shop\nOption 8: Availability of products for a specific diet, e.g. Gluten Free, Vegan', 'Q12: _ Factors in choosing where to shop\nOption 9: Customer service and support', 'Q12: _ Factors in choosing where to shop\nOption 10: Store layout and organization', 'Q12: _ Factors in choosing where to shop\nOption 11: Sales and discounts, special deals or promotions']"
15,10. What best describes how you usually get to the grocery store?,Multiple Choice,Q13: _ Get to grocery store
16,11. How long does it typically take you to get to the grocery store?,Multiple Choice,Q14: _ Time to Grocery
17,12. Where do you buy groceries from?,Multiple Answer,"['Q15: _ Grocery Store\nOption 1: Convenience Store (7-Eleven, Shell, CVS, etc.)', 'Q15: _ Grocery Store\nOption 2: Supermarket (Trader Joes, Kroger, Publix, Safeway, Whole Foods, etc.)', 'Q15: _ Grocery Store\nOption 3: Big Box/Superstore (Walmart, Target, etc.)', ""Q15: _ Grocery Store\nOption 4: Warehouse (Sam's Club, Costco, etc.)"", 'Q15: _ Grocery Store\nOption 5: Discount Store (Dollar Tree, Big Lots, Five Below, etc.)', 'Q15: _ Grocery Store\nOption 6: Specialty Store (health food store, international food store, etc.)', ""Q15: _ Grocery Store\nOption 7: Farmer's Market or Open Market"", 'Q15: _ Grocery Store\nOption 8: Online (Instacart, Amazon, ThriveMarket, Misfit Market, etc.)']"
18,13. When did you most recently shop for groceries in person?,Multiple Choice,Q16: _ Recency
19,14. What type of store did you buy groceries from during your most recent trip?,Multiple Choice,Q19: _ Type of store
20,"15. Of these, what had the biggest impact on your decision to shop at a [supermarket]?",Multiple Choice,Q20: _ Why shop at a supermarket?
21,16. Did you plan ahead what you were going to buy?,Multiple Choice,Q21: _ Did you plan ahead what you were going to buy?
22,17. Did you bring a list with you?,Multiple Choice,Q22: _ Did you bring a list with you?
23,18. What best describes why you did NOT bring a list?,Multiple Choice,Q23: _ Why no list?
24,19. Did you substitute any of the items on your list?,Multiple Choice,Q24: _ Substitute items
25,20. What was the primary reason for substituting items on your grocery list during your last shopping trip?,Multiple Choice,Q25: _ Reasons for substitutions
26,"21. For this shopping trip, did you use any of the following?",Multiple Answer,"['Q26: _ Coupons\nOption 1: Coupons', 'Q26: _ Coupons\nOption 2: Weekly circular', 'Q26: _ Coupons\nOption 3: Club membership', 'Q26: _ Coupons\nOption 4: Rewards card', 'Q26: _ Coupons\nOption 5: Discount program (Senior, teacher, military, etc.)', 'Q26: _ Coupons\nOption 6: ❌ None of the above']"
27,22. What best describes how you plan what groceries to buy in general?,Multiple Choice,Q29: _ Planning
28,23. What do you use to create your shopping lists most often?,Multiple Choice,Q30: _ Shopping list app
29,24. Thinking about using [list app] for your shopping lists: What do you LIKE about this app?,Open Ended,"Q31: _ Likes and dislikes
POS: What do you like about this app?"
